amount_rule_status,clean_title_blank_in_smoke,default_feed_rows,error,mapping_engine_smoke_status,mapping_smoke_matched,mapping_smoke_review_rows,mapping_smoke_rows,materialization_status,parsed_rows_all_files,parser_contract,period_file_count,platform,s2_amount_policy_locked,s2_projection_status
needs_reconcile,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,single_header_with_leading_merged_title,0,교보,False,s2_projection_blocked_by_amount_or_policy
needs_policy,0,4242,,pass_with_review,378,622,1000,materialized_default_feed,4242,google_transaction_fixed_columns,1,구글,False,s2_projection_blocked_by_amount_or_policy
needs_policy,0,1008,,pass_with_review,586,414,1000,materialized_default_feed,1012,two_row_merged_header_flatten,9,네이버,False,s2_projection_blocked_by_amount_or_policy
needs_cancel_policy,0,74,,pass_after_substitution,74,0,74,materialized_default_feed,74,single_header,1,노벨피아,False,s2_projection_blocked_by_amount_or_policy
candidate_confirmed_after_reconcile,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,single_header_row5_with_merged_banner,0,로망띠끄,True,s2_projection_candidate_after_policy
needs_policy,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,wide_single_header_limited_columns,0,리디북스,False,s2_projection_blocked_by_amount_or_policy
needs_policy,0,332,,pass_with_review,320,12,332,materialized_default_feed,332,single_header_variants,1,모픽,False,s2_projection_blocked_by_amount_or_policy
needs_coin_policy,0,514,,pass_with_review,384,130,514,materialized_default_feed,514,merged_header_coin_table,1,무툰,False,s2_projection_blocked_by_amount_or_policy
needs_cancel_policy,0,118,,pass_with_review,99,19,118,materialized_default_feed,118,single_header_limited_columns,1,문피아,False,s2_projection_blocked_by_amount_or_policy
needs_policy,0,125,,pass_after_substitution,125,0,125,materialized_default_feed,250,single_header_variants,2,미소설,False,s2_projection_blocked_by_amount_or_policy
blocked_until_settlement_basis,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,sheet_whitelist_workbook,0,미스터블루,False,s2_projection_blocked_by_amount_or_policy
candidate_confirmed_after_reconcile,0,1192,,pass_after_substitution,1000,0,1000,materialized_default_feed,1192,single_header_variants,1,밀리의서재,True,s2_projection_candidate_after_policy
blocked_non_sales,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,purchase_selection_list,0,보인&국립장애인도서관,False,s2_projection_blocked_non_s2_source
needs_derived_sale_policy,0,192,,pass_with_review,9,183,192,materialized_default_feed,192,single_header_with_duplicate_file_filter,1,부커스,False,s2_projection_blocked_by_amount_or_policy
candidate_confirmed_after_reconcile,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,single_header_row2,0,북큐브,True,s2_projection_candidate_after_policy
