platform,schema_signature,sheet_count,file_count,standard_field,candidate_order,candidate_header,score,status,examples
네이버,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계,67,67,sale_amount,1,합계,3,adapter_candidate,네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\2026년 1월 네이버 장르 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\선투자\2026년 1월 네이버 김악개 정산상세.xlsx::contentsSelling_2026-02-04
네이버,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계,67,67,raw_title,1,컨텐츠,3,adapter_candidate,네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\2026년 1월 네이버 장르 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\선투자\2026년 1월 네이버 김악개 정산상세.xlsx::contentsSelling_2026-02-04
네이버,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계,67,67,offset_amount,1,마켓수수료(추정치),8,adapter_candidate,네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\2026년 1월 네이버 장르 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\선투자\2026년 1월 네이버 김악개 정산상세.xlsx::contentsSelling_2026-02-04
네이버,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계,67,67,external_content_id,2,컨텐츠No,7,adapter_candidate,네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\2026년 1월 네이버 장르 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\선투자\2026년 1월 네이버 김악개 정산상세.xlsx::contentsSelling_2026-02-04
네이버,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계,67,67,external_content_id,1,공급자코드,9,adapter_candidate,네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\2026년 1월 네이버 장르 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\선투자\2026년 1월 네이버 김악개 정산상세.xlsx::contentsSelling_2026-02-04
네이버,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계|정산금액,4,4,settlement_base_amount,1,정산금액,11,adapter_candidate,네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-11-04 || 네이버\25년\11월\선투자\2025년 11월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-12-03 || 네이버\25년\12월\선투자\2025년 12월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2026-01-06
네이버,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계|정산금액,4,4,sale_amount,1,합계,3,adapter_candidate,네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-11-04 || 네이버\25년\11월\선투자\2025년 11월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-12-03 || 네이버\25년\12월\선투자\2025년 12월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2026-01-06
네이버,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계|정산금액,4,4,raw_title,1,컨텐츠,3,adapter_candidate,네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-11-04 || 네이버\25년\11월\선투자\2025년 11월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-12-03 || 네이버\25년\12월\선투자\2025년 12월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2026-01-06
네이버,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계|정산금액,4,4,offset_amount,1,마켓수수료(추정치),8,adapter_candidate,네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-11-04 || 네이버\25년\11월\선투자\2025년 11월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-12-03 || 네이버\25년\12월\선투자\2025년 12월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2026-01-06
네이버,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계|정산금액,4,4,external_content_id,2,컨텐츠No,7,adapter_candidate,네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-11-04 || 네이버\25년\11월\선투자\2025년 11월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-12-03 || 네이버\25년\12월\선투자\2025년 12월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2026-01-06
